request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_28,689.4,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.20,2026-04-06,none,Recommended installments. Evaluated safety over 90 days.
request_31,13840360.0,affordable_with_plan,installments,2024-09-10:1020643.81|2024-10-08:1020643.81|2024-11-05:1020643.81|2024-12-03:1020643.81|2024-12-31:1020643.81|2025-01-28:1020643.81|2025-02-25:1020643.81|2025-03-25:1020643.81|2025-04-22:1020643.81|2025-05-20:1020643.81|2025-06-17:1020643.81|2025-07-15:1020643.81|2025-08-12:1020643.81|2025-09-09:1020643.81|2025-10-07:1020643.81|2025-11-04:1020643.81|2025-12-02:1020643.81|2025-12-30:1020643.81|2026-01-27:1020643.81|2026-02-24:1020643.81|2026-03-24:1020643.81,2024-09-15,none,Recommended installments. Evaluated safety over 90 days.
request_32,33305.8,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_33,65180.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_35,125130.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_36,1446.6,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_38,379.4,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_39,203105.0,affordable_later,wait,none,2026-04-15,none,Recommended wait. Evaluated safety over 90 days.
